aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Result
-2544,14340,-6864,3840,-335,-1518,-1760,-1,-1,1
-2380,14188,-5644,3888,1635,-9604,-2419,-1,-1,1
-524,14480,-7148,3888,-1663,-1491,311,-1,-1,1
-528,15052,-6672,3904,461,-4012,-1424,-1,-1,1
-2808,14040,-5936,3904,595,-339,13,-1,-1,1
152,14872,-6996,3936,704,984,-671,-1,-1,1
-636,14988,-6836,3936,1622,-3290,-1317,-1,-1,1
-716,14388,-7040,3952,296,179,-1085,-1,-1,1
-2456,14196,-7584,3952,-960,-91,-135,-1,-1,1
-2008,14092,-7136,3952,-448,-321,-58,-1,-1,1
-1224,14264,-6732,3952,-1394,2425,1557,-1,-1,1
1356,11692,-11328,3952,48,530,75,-1,-1,1
-80,14880,-7036,3968,1145,3629,638,-1,-1,1
-1524,14348,-6936,3968,1421,-101,-782,-1,-1,1
-1784,14440,-6996,3968,-389,-341,538,-1,-1,1
-1840,14336,-7012,3968,-834,941,107,-1,-1,1
-1940,14320,-6380,3968,-798,-113,-116,-1,-1,1
-672,14648,-6540,3968,565,3321,205,-1,-1,1
-1832,14900,-7552,3968,2363,-2584,-1037,-1,-1,1
-2032,14500,-6768,3968,-418,2806,723,-1,-1,1
-2572,14224,-6916,3968,-666,-649,-332,-1,-1,1
-2780,14168,-6076,3968,441,-2126,-660,-1,-1,1
-3300,14480,-6128,3968,-1284,1733,348,-1,-1,1
-2688,14792,-6552,3968,899,2239,-24,-1,-1,1
-3584,13460,-5128,3968,50,1316,-516,-1,-1,1
-1864,14436,-7044,4000,-1123,1745,794,-1,-1,1
-2224,14548,-6788,4000,98,1774,300,-1,-1,1
-2176,14712,-7248,4000,377,-1188,-55,-1,-1,1
-1548,14228,-7416,4000,982,1099,355,-1,-1,1
-1912,14780,-6984,4000,-357,3912,682,-1,-1,1
-1692,14680,-6708,4000,1907,264,-542,-1,-1,1
-1724,14296,-6692,4000,1756,-916,-820,-1,-1,1
-3584,14504,-7476,4000,1392,-7325,-3206,-1,-1,1
-1472,14284,-6772,4000,-729,3080,1302,-1,-1,1
-2592,14408,-6464,4000,-1113,-256,-403,-1,-1,1
-2648,14468,-6784,4000,712,2516,337,-1,-1,1
400,14756,-6148,4000,352,3288,2294,-1,-1,1
-3328,14800,-6140,4000,651,-2025,-763,-1,-1,1
-1120,14808,-7056,4016,-396,-2127,-132,-1,-1,1
-552,14416,-6392,4016,1186,-5792,-2180,-1,-1,1
-1888,14788,-6984,4016,115,361,-482,-1,-1,1
-1348,14544,-6768,4016,-895,3480,1261,-1,-1,1
-776,14904,-6796,4016,2097,-3306,-2033,-1,-1,1
-1452,14832,-6664,4016,1800,-5646,-2385,-1,-1,1
-1804,13896,-6400,4016,-851,3284,1550,-1,-1,1
-1680,15344,-7464,4016,-984,2481,180,-1,-1,1
-496,14748,-6756,4016,1041,-378,-990,-1,-1,1
-1360,13936,-6664,4016,-45,-3926,-1182,-1,-1,1
-1620,14528,-6692,4016,4,2340,651,-1,-1,1
-2792,14332,-7168,4016,-662,1701,1156,-1,-1,1
-3356,14280,-7188,4016,-467,-1402,-1275,-1,-1,1
-1328,14100,-6392,4016,-280,2935,102,-1,-1,1
-3120,14536,-6764,4016,62,-822,-433,-1,-1,1
-2752,14348,-6812,4016,385,-1240,-104,-1,-1,1
-3144,15104,-6944,4016,-408,78,-493,-1,-1,1
-2996,14984,-6836,4016,535,-113,-1109,-1,-1,1
-2500,14420,-6116,4016,808,-50,741,-1,-1,1
-3192,14412,-6484,4016,-544,4708,1767,-1,-1,1
-2644,14436,-5940,4016,-719,687,-551,-1,-1,1
1360,11612,-11340,4016,47,806,64,-1,-1,1
-7240,668,-14152,4048,-26,395,-57,-1,-1,0
-7328,800,-14288,4048,31,257,-25,-1,-1,0
-2352,14644,-6756,4048,-1689,1577,89,-1,-1,1
-1192,14900,-7228,4048,1560,2881,636,-1,-1,1
-924,14144,-6428,4048,633,2957,-66,-1,-1,1
-1848,14660,-6932,4048,-789,781,638,-1,-1,1
-1980,13964,-6660,4048,-174,529,216,-1,-1,1
-2980,14784,-7140,4048,648,-874,-711,-1,-1,1
-1364,14316,-6536,4048,-680,2794,321,-1,-1,1
-1572,14516,-6292,4048,-106,-1627,-1391,-1,-1,1
-2628,15140,-7476,4048,-24,1515,414,-1,-1,1
-1920,14392,-6524,4048,1313,1085,-16,-1,-1,1
-2544,14564,-7076,4048,-1819,2910,953,-1,-1,1
-2064,14680,-6604,4048,-337,-926,-100,-1,-1,1
-1396,14424,-6584,4048,597,3178,1622,-1,-1,1
-2404,14596,-6848,4048,980,1568,910,-1,-1,1
-2244,14564,-6416,4048,-7,1015,164,-1,-1,1
-2172,15120,-6548,4048,1746,-2276,-1699,-1,-1,1
-1992,14480,-6484,4048,-181,785,-29,-1,-1,1
-1776,14656,-5112,4048,211,2139,861,-1,-1,1
-4280,14908,-6384,4048,1927,-5447,-2677,-1,-1,1
-2108,14884,-6768,4048,-623,-123,410,-1,-1,1
-2152,14540,-5956,4048,651,3854,800,-1,-1,1
-2172,14756,-6352,4048,3730,-7049,-2859,-1,-1,1
-3332,15236,-7240,4048,952,-1845,-896,-1,-1,1
-4296,13736,-6168,4048,76,-2381,-1202,-1,-1,1
-2260,15404,-6132,4048,-886,-1989,-1595,-1,-1,1
-4780,14220,-6292,4048,68,-2885,-1260,-1,-1,1
-2636,14688,-5920,4048,-389,-373,-338,-1,-1,1
-4436,14468,-6460,4048,332,-199,-210,-1,-1,1
-2908,14472,-6904,4048,676,1896,1609,-1,-1,1
-4244,14000,-6716,4048,797,-1191,-454,-1,-1,1
-4820,13696,-6396,4048,118,120,-1037,-1,-1,1
-4240,13404,-6388,4048,539,2985,729,-1,-1,1
-3372,13784,-6844,4048,-614,3132,509,-1,-1,1
1356,11568,-11360,4048,64,242,-67,-1,-1,1
1432,11648,-11256,4048,21,284,20,-1,-1,1
-7252,652,-14264,4064,93,391,-26,-1,-1,0
-7256,616,-14272,4064,32,415,-49,-1,-1,0
2380,12532,-9932,4064,-74,204,-50,-1,-1,0
